id,class
1601,G
1603,A
1605,D
1607,E
1609,G
1611,C
1613,F
1615,D
1617,F
1619,E
1621,E
1623,D
1625,F
1627,G
1629,B
1631,G
1633,D
1635,F
1637,G
1639,D
1641,B
1643,E
1645,E
1647,G
1649,B
1651,G
1653,D
1655,C
1657,D
1659,B
1661,G
1663,E
1665,G
1667,E
1669,G
1671,G
1673,E
1675,E
1677,G
1679,G
1681,G
1683,G
1685,B
1687,G
1689,G
1691,F
1693,B
1695,C
1697,C
1699,G
1701,D
1703,E
1705,E
1707,G
1709,D
1711,G
1713,G
1715,F
1717,F
1719,G
1721,D
1723,B
1725,G
1727,G
1729,G
1731,D
1733,D
1735,D
1737,E
1739,E
1741,F
1743,G
1745,B
1747,F
1749,F
1751,A
1753,D
1755,G
1757,C
1759,G
1761,E
1763,F
1765,D
1767,E
1769,A
1771,D
1773,G
1775,E
1777,C
1779,B
1781,G
1783,G
1785,G
1787,G
1789,G
1791,G
1793,G
1795,G
1797,G
1799,G
1801,G
1803,G
1805,D
1807,G
1809,G
1811,D
1813,C
1815,F
1817,G
1819,G
1821,F
1823,G
1825,F
1827,G
1829,F
1831,G
1833,G
1835,G
1837,G
1839,G
1841,G
1843,C
1845,B
1847,D
1849,G
1851,F
1853,F
1855,G
1857,G
1859,B
1861,D
1863,D
1865,G
1867,E
1869,D
1871,G
1873,G
1875,G
1877,G
1879,D
1881,F
1883,F
1885,G
1887,G
1889,F
1891,E
1893,G
1895,F
1897,F
1899,D
1901,F
1903,E
1905,G
1907,F
1909,E
1911,D
1913,G
1915,G
1917,F
1919,E
1921,B
1923,D
1925,C
1927,E
1929,E
1931,D
1933,D
1935,E
1937,D
1939,D
1941,F
1943,G
1945,D
1947,E
1949,G
1951,G
1953,G
1955,D
1957,G
1959,G
1961,G
1963,E
1965,G
1967,D
1969,F
1971,D
1973,D
1975,G
1977,D
1979,G
1981,G
1983,G
1985,B
1987,E
1989,G
1991,F
1993,D
1995,G
1997,A
1999,F
2001,G
2003,G
2005,G
2007,E
2009,G
2011,D
2013,G
2015,G
2017,E
2019,F
2021,G
2023,G
2025,D
2027,G
2029,G
2031,G
2033,D
2035,D
2037,G
2039,F
2041,G
2043,G
2045,B
2047,F
2049,G
2051,G
2053,G
2055,D
2057,C
2059,E
2061,G
2063,B
2065,F
2067,E
2069,D
2071,B
2073,F
2075,D
2077,G
2079,G
2081,C
2083,B
2085,D
2087,G
2089,F
2091,E
2093,F
2095,D
2097,F
2099,F
2101,C
2103,C
2105,D
2107,G
2109,B
2111,B
2113,F
2115,G
2117,F
2119,G
2121,E
2123,E
2125,E
2127,G
2129,G
2131,C
2133,G
2135,E
2137,G
2139,G
2141,D
2143,F
2145,D
2147,E
2149,E
2151,E
2153,A
2155,G
2157,G
2159,F
2161,C
2163,D
2165,A
2167,B
2169,E
2171,E
2173,D
2175,B
2177,G
2179,D
2181,D
2183,G
2185,E
2187,E
2189,E
2191,B
2193,C
2195,G
2197,G
2199,G
2201,E
2203,E
2205,C
2207,E
2209,C
2211,D
2213,F
2215,G
2217,E
2219,F
2221,E
2223,D
2225,D
2227,G
2229,D
2231,G
2233,G
2235,A
2237,D
2239,G
2241,D
2243,G
2245,D
2247,E
2249,D
2251,D
2253,C
2255,D
2257,G
2259,D
2261,G
2263,G
2265,F
2267,D
2269,D
2271,G
2273,F
2275,D
2277,F
2279,F
2281,G
2283,E
2285,G
2287,C
2289,B
2291,D
2293,G
2295,G
2297,C
2299,D
2301,G
2303,G
2305,D
2307,G
2309,F
2311,D
2313,F
2315,D
2317,D
2319,B
2321,E
2323,G
2325,D
2327,G
2329,G
2331,C
2333,G
2335,E
2337,F
2339,G
2341,D
2343,F
2345,B
2347,F
2349,G
2351,D
2353,G
2355,A
2357,G
2359,C
2361,E
2363,G
2365,F
2367,F
2369,B
2371,G
2373,G
2375,G
2377,E
2379,E
2381,F
2383,G
2385,D
2387,E
2389,D
2391,E
2393,G
2395,F
2397,D
2399,B
2401,C
2403,C
2405,D
2407,F
2409,G
2411,D
2413,D
2415,A
2417,E
2419,A
2421,E
2423,A
2425,G
2427,G
2429,D
2431,A
2433,C
2435,D
2437,G
2439,G
2441,D
2443,G
2445,D
2447,G
2449,E
2451,E
2453,G
2455,C
2457,F
2459,D
2461,E
2463,C
2465,D
2467,D
2469,D
2471,G
2473,E
2475,E
2477,D
2479,C
2481,G
2483,E
2485,C
2487,C
2489,C
2491,G
2493,F
2495,D
2497,D
2499,A
2501,G
2503,D
2505,B
2507,F
2509,G
2511,F
2513,G
2515,G
2517,E
2519,C
2521,F
2523,D
2525,D
2527,D
2529,C
2531,D
2533,A
2535,E
2537,E
2539,G
2541,D
2543,G
2545,G
2547,D
2549,D
2551,G
2553,B
2555,F
2557,E
2559,B
2561,G
2563,G
2565,F
2567,F
2569,E
2571,F
2573,A
2575,E
2577,F
2579,F
2581,D
2583,C
2585,F
2587,G
2589,D
2591,G
2593,D
2595,D
2597,G
2599,G
2601,F
2603,B
2605,C
2607,D
2609,G
2611,G
2613,D
2615,F
2617,F
2619,D
2621,D
2623,D
2625,B
2627,G
2629,B
2631,D
2633,D
2635,A
2637,D
2639,C
2641,F
2643,G
2645,D
2647,A
2649,G
2651,D
2653,F
2655,B
2657,E
2659,F
2661,D
2663,B
2665,E
2667,C
2669,F
2671,C
2673,C
2675,F
2677,G
2679,D
2681,E
2683,D
2685,G
2687,F
2689,C
2691,E
2693,D
2695,D
2697,C
2699,G
2701,F
2703,D
2705,D
2707,E
2709,D
2711,D
2713,E
2715,F
2717,E
2719,D
2721,G
2723,G
2725,G
2727,G
2729,F
2731,G
2733,F
2735,B
2737,D
2739,D
2741,D
2743,G
2745,G
2747,C
2749,D
2751,D
2753,B
2755,D
2757,E
2759,D
2761,D
2763,E
2765,D
2767,F
2769,D
2771,E
2773,F
2775,D
2777,D
2779,D
2781,D
2783,D
2785,B
2787,G
2789,B
2791,F
2793,E
2795,F
2797,G
2799,F
2801,A
2803,E
2805,G
2807,D
2809,G
2811,G
2813,E
2815,G
2817,F
2819,C
2821,D
2823,D
2825,F
2827,C
2829,D
2831,D
2833,B
2835,D
2837,C
2839,D
2841,G
2843,E
2845,D
2847,D
2849,E
2851,D
2853,D
2855,D
2857,D
2859,C
2861,C
2863,D
2865,B
2867,D
2869,D
2871,D
2873,E
2875,B
2877,A
2879,C
2881,A
2883,A
2885,D
2887,D
2889,E
2891,C
2893,G
2895,D
2897,D
2899,D
2901,D
2903,D
2905,E
2907,E
2909,B
2911,B
2913,D
2915,E
2917,B
2919,D
2921,E
2923,G
2925,C
2927,B
2929,E
2931,E
2933,D
2935,D
2937,D
2939,D
2941,C
2943,D
2945,F
2947,C
2949,C
2951,E
2953,E
2955,B
2957,D
2959,D
2961,D
2963,F
2965,B
2967,C
2969,E
2971,G
2973,C
2975,C
2977,E
2979,G
2981,D
2983,E
2985,D
2987,D
2989,A
2991,E
2993,A
2995,D
2997,E
2999,E
3001,D
3003,F
3005,D
3007,G
3009,D
3011,E
3013,B
3015,D
3017,C
3019,D
3021,A
3023,D
3025,D
3027,D
3029,C
3031,B
3033,B
3035,E
3037,B
3039,D
3041,D
3043,E
3045,D
3047,B
3049,D
3051,D
3053,F
3055,E
3057,G
3059,B
3061,B
3063,D
3065,C
3067,B
3069,D
3071,D
3073,D
3075,B
3077,G
3079,C
3081,C
3083,C
3085,E
3087,E
3089,F
3091,G
3093,E
3095,D
3097,D
3099,D
3101,G
3103,E
3105,A
3107,F
3109,A
3111,D
3113,C
3115,D
3117,D
3119,D
3121,D
3123,D
3125,E
3127,D
3129,D
3131,D
3133,D
3135,D
3137,A
3139,B
3141,D
3143,D
3145,C
3147,E
3149,D
3151,D
3153,F
3155,B
3157,B
3159,D
3161,B
3163,D
3165,G
3167,E
3169,E
3171,E
3173,D
3175,A
3177,A
3179,E
3181,B
3183,E
3185,D
3187,E
3189,G
3191,B
3193,B
3195,C
3197,D
3199,D
3201,C
3203,D
3205,B
3207,A
3209,G
3211,A
3213,D
3215,D
3217,G
3219,D
3221,D
3223,E
3225,D
3227,G
3229,D
3231,C
3233,D
3235,C
3237,F
3239,G
3241,D
3243,B
3245,E
3247,E
3249,G
3251,C
3253,E
3255,B
3257,E
3259,D
3261,A
3263,A
3265,B
3267,D
3269,B
3271,D
3273,B
3275,D
3277,E
3279,D
3281,E
3283,D
3285,E
3287,G
3289,A
3291,D
3293,E
3295,D
3297,C
3299,D
3301,D
3303,D
3305,G
3307,D
3309,E
3311,G
3313,C
3315,G
3317,B
3319,B
3321,C
3323,D
3325,F
3327,E
3329,D
3331,D
3333,A
3335,F
3337,D
3339,D
3341,F
3343,E
3345,D
3347,G
3349,C
3351,E
3353,E
3355,D
3357,B
3359,E
3361,C
3363,D
3365,E
3367,E
3369,E
3371,E
3373,E
3375,E
3377,D
3379,D
3381,D
3383,G
3385,D
3387,E
3389,E
3391,D
3393,F
3395,E
3397,D
3399,E
3401,E
3403,D
3405,D
3407,D
3409,G
3411,D
3413,B
3415,B
3417,C
3419,E
3421,B
3423,D
3425,D
3427,D
3429,E
3431,E
3433,G
3435,E
3437,D
3439,D
3441,D
3443,E
3445,D
3447,B
3449,G
3451,E
3453,D
3455,F
3457,D
3459,D
3461,D
3463,D
3465,D
3467,A
3469,D
3471,D
3473,D
3475,D
3477,A
3479,E
3481,D
3483,D
3485,D
3487,E
3489,D
3491,D
3493,G
3495,D
3497,C
3499,B
3501,B
3503,D
3505,E
3507,D
3509,C
3511,A
3513,B
3515,E
3517,F
3519,D
3521,A
3523,D
3525,D
3527,D
3529,D
3531,D
3533,E
3535,D
3537,D
3539,C
3541,E
3543,D
3545,C
3547,D
3549,D
3551,D
3553,D
3555,D
3557,E
3559,D
3561,E
3563,D
3565,G
3567,E
3569,D
3571,E
3573,F
3575,D
3577,C
3579,E
3581,D
3583,B
3585,E
3587,E
3589,B
3591,C
3593,D
3595,D
3597,D
3599,C
3601,B
3603,D
3605,D
3607,D
3609,E
3611,D
3613,D
3615,F
3617,A
3619,D
3621,D
3623,D
3625,E
3627,B
3629,D
3631,E
3633,D
3635,E
3637,G
3639,E
3641,D
3643,D
3645,D
3647,B
3649,F
3651,E
3653,C
3655,B
3657,E
3659,G
3661,D
3663,F
3665,E
3667,G
3669,D
3671,G
3673,D
3675,F
3677,E
3679,E
3681,A
3683,E
3685,E
3687,B
3689,E
3691,B
3693,F
3695,E
3697,E
3699,E
3701,B
3703,G
3705,F
3707,B
3709,C
3711,A
3713,D
3715,E
3717,D
3719,D
3721,F
3723,B
3725,G
3727,C
3729,D
3731,D
3733,B
3735,D
3737,C
3739,B
3741,D
3743,D
3745,D
3747,B
3749,D
3751,G
3753,D
3755,D
3757,D
3759,D
3761,G
3763,E
3765,B
3767,B
3769,D
3771,D
3773,B
3775,G
3777,D
3779,G
3781,B
3783,F
3785,A
3787,C
3789,A
3791,E
3793,D
3795,D
3797,B
3799,E
3801,C
3803,D
3805,D
3807,B
3809,D
3811,D
3813,D
3815,D
3817,B
3819,A
3821,F
3823,D
3825,D
3827,E
3829,E
3831,D
3833,D
3835,B
3837,E
3839,A
3841,A
3843,B
3845,B
3847,C
3849,E
3851,E
3853,D
3855,D
3857,G
3859,D
3861,A
3863,D
3865,A
3867,D
3869,D
3871,D
3873,A
3875,E
3877,D
3879,D
3881,E
3883,E
3885,E
3887,D
3889,D
3891,D
3893,E
3895,G
3897,D
3899,D
3901,C
3903,B
3905,E
3907,C
3909,B
3911,D
3913,A
3915,D
3917,D
3919,A
3921,C
3923,D
3925,D
3927,B
3929,E
3931,C
3933,D
3935,G
3937,D
3939,D
3941,B
3943,E
3945,E
3947,D
3949,A
3951,D
3953,D
3955,D
3957,G
3959,B
3961,D
3963,C
3965,D
3967,B
3969,D
3971,D
3973,D
3975,E
3977,B
3979,A
3981,B
3983,D
3985,F
3987,B
3989,B
3991,B
3993,D
3995,E
3997,D
3999,G
4001,E
4003,D
4005,B
4007,D
4009,D
4011,E
4013,D
4015,E
4017,D
4019,E
4021,D
4023,C
4025,D
4027,G
4029,D
4031,E
4033,E
4035,E
4037,D
4039,D
4041,D
4043,D
4045,B
4047,D
4049,D
4051,C
4053,D
4055,B
4057,D
4059,D
4061,B
4063,A
4065,D
4067,D
4069,B
4071,F
4073,D
4075,E
4077,E
4079,C
4081,D
4083,G
4085,A
4087,D
4089,D
4091,D
4093,G
4095,D
4097,D
4099,D
4101,D
4103,G
4105,D
4107,B
4109,A
4111,D
4113,D
4115,G
4117,D
4119,D
4121,B
4123,D
4125,D
4127,D
4129,E
4131,D
4133,D
4135,G
4137,D
4139,B
4141,D
4143,D
4145,D
4147,E
4149,E
4151,G
4153,B
4155,B
4157,D
4159,E
4161,A
4163,D
4165,A
4167,G
4169,C
4171,F
4173,E
4175,D
4177,D
4179,B
4181,D
4183,D
4185,D
4187,E
4189,A
4191,E
4193,D
4195,D
4197,D
4199,D
4201,D
4203,E
4205,B
4207,E
4209,D
4211,D
4213,G
4215,D
4217,D
4219,D
4221,G
4223,C
4225,C
4227,D
4229,E
4231,E
4233,F
4235,D
4237,D
4239,A
4241,D
4243,F
4245,D
4247,E
4249,D
4251,E
4253,D
4255,E
4257,B
4259,C
4261,A
4263,E
4265,D
4267,B
4269,D
4271,B
4273,D
4275,E
4277,E
4279,E
4281,C
4283,D
4285,D
4287,D
4289,D
4291,B
4293,D
4295,D
4297,E
4299,B
4301,G
4303,A
4305,G
4307,E
4309,D
4311,D
4313,A
4315,C
4317,E
4319,C
4321,D
4323,E
4325,D
4327,E
4329,B
4331,A
4333,E
4335,D
4337,D
4339,D
4341,B
4343,D
4345,E
4347,D
4349,E
4351,F
4353,E
4355,E
4357,G
4359,C
4361,C
4363,A
4365,B
4367,F
4369,A
4371,D
4373,C
4375,D
4377,F
4379,E
4381,D
4383,C
4385,C
4387,D
4389,D
4391,A
4393,E
4395,D
4397,D
4399,B
4401,D
4403,E
4405,G
4407,B
4409,E
4411,E
4413,B
4415,E
4417,D
4419,D
4421,C
4423,B
4425,F
4427,D
4429,C
4431,D
4433,D
4435,D
4437,B
4439,B
4441,D
4443,D
4445,B
4447,G
4449,D
4451,D
4453,D
4455,D
4457,C
4459,E
4461,G
4463,E
4465,D
4467,A
4469,D
4471,D
4473,A
4475,G
4477,D
4479,E
4481,E
4483,D
4485,B
4487,D
4489,C
4491,D
4493,B
4495,D
4497,D
4499,D
4501,C
4503,D
4505,A
4507,D
4509,D
4511,D
4513,D
4515,D
4517,B
4519,D
4521,E
4523,C
4525,B
4527,D
4529,D
4531,D
4533,D
4535,A
4537,E
4539,B
4541,E
4543,D
4545,E
4547,G
4549,E
4551,D
4553,D
4555,D
4557,D
4559,D
4561,D
4563,G
4565,D
4567,E
4569,D
4571,C
4573,E
4575,D
4577,G
4579,C
4581,C
4583,C
4585,E
4587,E
4589,D
4591,F
4593,D
4595,E
4597,D
4599,D
4601,B
4603,C
4605,D
4607,D
4609,E
4611,F
4613,E
4615,D
4617,D
4619,F
4621,F
4623,A
4625,E
4627,B
4629,E
4631,D
4633,B
4635,D
4637,D
4639,E
4641,C
4643,B
4645,E
4647,E
4649,A
4651,E
4653,D
4655,A
4657,D
4659,B
4661,E
4663,D
4665,D
4667,D
4669,E
4671,A
4673,E
4675,D
4677,F
4679,G
4681,D
4683,D
4685,E
4687,D
4689,C
4691,B
4693,G
4695,B
4697,D
4699,E
4701,D
4703,B
4705,C
4707,E
4709,G
4711,G
4713,B
4715,B
4717,A
4719,D
4721,D
4723,D
4725,D
4727,D
4729,E
4731,D
4733,B
4735,D
4737,F
4739,A
4741,E
4743,A
4745,D
4747,D
4749,D
4751,C
4753,F
4755,E
4757,C
4759,D
4761,A
4763,A
4765,G
4767,B
4769,D
4771,E
4773,C
4775,D
4777,D
4779,B
4781,D
4783,D
4785,C
4787,E
4789,E
4791,D
4793,D
4795,B
4797,D
4799,D
4801,E
4803,B
4805,A
4807,A
4809,D
4811,D
4813,D
4815,E
4817,D
4819,B
4821,D
4823,B
4825,D
4827,E
4829,D
4831,D
4833,D
4835,B
4837,C
4839,E
4841,D
4843,D
4845,E
4847,E
4849,B
4851,B
4853,B
4855,E
4857,E
4859,D
4861,D
4863,E
4865,D
4867,C
4869,A
4871,D
4873,E
4875,E
4877,D
4879,D
4881,D
4883,B
4885,D
4887,D
4889,D
4891,E
4893,E
4895,A
4897,E
4899,C
4901,D
4903,D
4905,D
4907,D
4909,B
4911,D
4913,E
4915,D
4917,C
4919,E
4921,E
4923,C
4925,E
4927,B
4929,C
4931,D
4933,D
4935,E
4937,C
4939,B
4941,B
4943,D
4945,D
4947,E
4949,A
4951,G
4953,D
4955,E
4957,E
4959,E
4961,B
4963,B
4965,F
4967,B
4969,A
4971,D
4973,D
4975,D
4977,D
4979,D
4981,C
4983,E
4985,D
4987,D
4989,E
4991,D
4993,A
4995,D
4997,D
4999,D
5001,C
5003,B
5005,D
5007,C
5009,D
5011,D
5013,G
5015,B
5017,A
5019,B
5021,B
5023,C
5025,D
5027,D
5029,D
5031,D
5033,G
5035,G
5037,D
5039,D
5041,B
5043,E
5045,D
5047,B
5049,E
5051,F
5053,C
5055,B
5057,D
5059,D
5061,A
5063,D
5065,D
5067,G
5069,D
5071,C
5073,D
5075,E
5077,D
5079,A
5081,E
5083,E
5085,D
5087,D
5089,G
5091,E
5093,E
5095,E
5097,E
5099,E
5101,E
5103,G
5105,B
5107,B
5109,E
5111,G
5113,A
5115,E
5117,B
5119,C
5121,B
5123,E
5125,G
5127,C
5129,F
5131,E
5133,B
5135,F
5137,A
5139,A
5141,A
5143,E
5145,B
5147,B
5149,C
5151,E
5153,A
5155,C
5157,E
5159,C
5161,B
5163,E
5165,G
5167,B
5169,E
5171,G
5173,E
5175,E
5177,E
5179,G
5181,C
5183,E
5185,B
5187,E
5189,E
5191,C
5193,C
5195,E
5197,E
5199,F
5201,B
5203,E
5205,C
5207,A
5209,A
5211,C
5213,B
5215,A
5217,B
5219,B
5221,C
5223,E
5225,C
5227,B
5229,C
5231,E
5233,B
5235,B
5237,G
5239,C
5241,E
5243,B
5245,B
5247,A
5249,C
5251,C
5253,B
5255,A
5257,E
5259,A
5261,E
5263,B
5265,B
5267,G
5269,B
5271,B
5273,E
5275,G
5277,A
5279,E
5281,E
5283,B
5285,B
5287,E
5289,E
5291,A
5293,E
5295,E
5297,E
5299,C
5301,E
5303,C
5305,E
5307,B
5309,A
5311,C
5313,B
5315,B
5317,C
5319,C
5321,E
5323,E
5325,E
5327,B
5329,A
5331,B
5333,A
5335,A
5337,B
5339,B
5341,A
5343,A
5345,A
5347,C
5349,A
5351,A
5353,C
5355,C
5357,A
5359,A
5361,B
5363,C
5365,B
5367,B
5369,C
5371,B
5373,A
5375,B
5377,A
5379,A
5381,B
5383,B
5385,B
5387,C
5389,A
5391,A
5393,A
5395,A
5397,A
5399,E
5401,B
5403,A
5405,B
5407,E
5409,A
5411,C
5413,A
5415,A
5417,B
5419,E
5421,B
5423,B
5425,A
5427,B
5429,C
5431,C
5433,A
5435,B
5437,A
5439,C
5441,C
5443,B
5445,B
5447,C
5449,A
5451,B
5453,B
5455,B
5457,E
5459,C
5461,C
5463,B
5465,A
5467,B
5469,A
5471,E
5473,E
5475,A
5477,B
5479,A
5481,A
5483,B
5485,B
5487,A
5489,E
5491,A
5493,A
5495,A
5497,A
5499,C
5501,A
5503,C
5505,B
5507,B
5509,A
5511,C
5513,C
5515,A
5517,C
5519,E
5521,C
5523,B
5525,B
5527,A
5529,A
5531,C
5533,G
5535,A
5537,B
5539,B
5541,B
5543,A
5545,A
5547,A
5549,B
5551,C
5553,B
5555,B
5557,A
5559,B
5561,A
5563,A
5565,A
5567,E
5569,C
5571,A
5573,G
5575,B
5577,A
5579,A
5581,B
5583,A
5585,A
5587,B
5589,A
5591,A
5593,B
5595,A
5597,B
5599,C
5601,A
5603,B
5605,C
5607,C
5609,B
5611,C
5613,B
5615,C
5617,A
5619,A
5621,A
5623,B
5625,B
5627,C
5629,C
5631,A
5633,C
5635,C
5637,A
5639,C
5641,C
5643,B
5645,B
5647,E
5649,A
5651,C
5653,B
5655,C
5657,A
5659,A
5661,B
5663,B
5665,E
5667,C
5669,B
5671,A
5673,B
5675,C
5677,A
5679,E
5681,B
5683,B
5685,B
5687,A
5689,A
5691,B
5693,A
5695,A
5697,A
5699,A
5701,A
5703,C
5705,C
5707,A
5709,C
5711,A
5713,A
5715,C
5717,B
5719,A
5721,C
5723,B
5725,B
5727,A
5729,E
5731,B
5733,B
5735,B
5737,G
5739,C
5741,E
5743,C
5745,B
5747,A
5749,A
5751,E
5753,B
5755,C
5757,C
5759,A
5761,B
5763,B
5765,B
5767,A
5769,B
5771,A
5773,A
5775,E
5777,A
5779,A
5781,B
5783,A
5785,A
5787,A
5789,B
5791,A
5793,A
5795,B
